,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz_targets
35,Jauan Jennings,SF,15,173.3,11.55,90,55,643,9,0.1992322053262276,0.2557666422600593,0.477884957571383,0.7325747819694828,10.06,0.611,7.14,3.29,0.8206666666666667,22
36,Parker Washington,JAX,16,184.7,11.54,95,58,847,5,0.1800539462439699,0.2420122343940853,0.4394894834418147,0.8493578526541297,12.49,0.611,8.92,4.57,0.61375,16
37,Emeka Egbuka,TB,17,195.7,11.51,127,63,938,6,0.2356455366633572,0.3534680641582661,0.6008959499058221,0.6048008374994732,12.38,0.496,7.39,5.32,0.776470588235294,15
38,Terry McLaurin,WAS,10,114.2,11.42,60,38,582,3,0.2323457350272232,0.3713463687382351,0.6084610606575994,0.8142236291304062,13.98,0.633,9.7,2.45,0.704,8
39,Ladd McConkey,LAC,16,180.9,11.31,106,66,789,6,0.2108400325736657,0.2604294493333136,0.4985606633938181,0.8519515800898123,9.87,0.623,7.44,4.7,0.775,15
40,Keenan Allen,LAC,17,182.7,10.75,122,81,777,4,0.2206107794873936,0.2278375374942395,0.4904024454770582,0.8363008942523988,8.42,0.664,6.37,2.85,0.5547058823529412,16
41,Marvin Harrison Jr.,ARI,12,127.8,10.65,73,41,608,4,0.1805458498916916,0.3304431512354945,0.5021289807023837,0.6701877225063715,12.96,0.562,8.33,2.9,0.7125,0
42,Mike Evans,TB,8,84.80000000000001,10.6,62,30,368,3,0.2434458812260536,0.3479450441630348,0.6087303527532049,0.5003582029044501,13.29,0.484,5.94,1.23,0.65625,13
43,Troy Franklin,DEN,17,177.1,10.42,104,65,709,6,0.1822351849728562,0.2800081709149559,0.4693584970997534,0.7538993776637035,12.7,0.625,6.82,4.34,0.5958823529411765,21
44,Khalil Shakir,BUF,16,166.4,10.4,95,72,719,4,0.2114110288363005,0.0861902351314155,0.3774497078464418,5.672390977078477,3.67,0.758,7.57,7.51,0.5975,15
45,Romeo Doubs,GB,16,165.4,10.34,85,55,724,6,0.1887829207413165,0.2804375784612782,0.4794806860348695,0.8812836951051217,12.76,0.647,8.52,2.96,0.775625,18
46,DJ Moore,CHI,17,172.18,10.13,85,50,682,6,0.1613399256960586,0.1988313927300719,0.3811918634551383,0.7733969097851152,11.62,0.588,8.02,4.44,,11
47,Brian Thomas Jr.,JAX,14,138.8,9.91,91,48,707,2,0.1931127894109703,0.3160402844063217,0.5108973832008806,0.5775753262443669,14.45,0.527,7.77,3.31,,0
48,Ricky Pearsall,SF,9,88.60000000000001,9.84,53,36,528,0,0.1795827704624312,0.3178968099991611,0.4919019226930597,0.6026863647528898,14.11,0.679,9.96,2.06,0.7811111111111111,4
49,Jakobi Meyers,LV,7,68.2,9.74,49,33,352,0,0.2255318093724777,0.3479382558631295,0.5818544931629074,0.8099467808900097,8.9,0.673,7.18,4.64,0.9228571428571428,15
50,Jayden Reed,GB,5,48.5,9.7,22,19,207,1,0.1705704874835309,0.1264819642497372,0.3443931062001125,1.450652409905381,8.14,0.864,9.41,4.47,0.4114285714285714,4
51,Jordan Addison,MIN,14,135.1,9.65,79,42,610,3,0.1822259638335655,0.3298140495745093,0.5042087804525048,0.5345005797803356,13.71,0.532,7.72,3.31,0.8514285714285714,13
52,Tre Tucker,LV,17,161.7,9.51,92,57,696,5,0.1895904365727252,0.2639591973045314,0.4691570929722598,1.2375664021272286,10.16,0.62,7.57,5.11,0.9482352941176472,10
53,Chris Godwin Jr.,TB,9,83.0,9.22,51,33,360,2,0.1791096910854975,0.1573952110878175,0.3788411843897186,1.5024707123938663,7.08,0.647,7.06,6.24,,0
54,Travis Hunter,JAX,7,63.8,9.11,45,28,298,1,0.1751486835837692,0.177049426598227,0.3866576239944128,0.8748671859466356,7.87,0.622,6.62,5.0,0.6628571428571429,5
55,Kayshon Boutte,NE,14,124.1,8.86,46,33,551,6,0.1197950655888178,0.2153264166609202,0.330421090045871,0.7584552483275958,16.98,0.717,11.98,1.15,0.6749999999999999,4
56,Josh Downs,IND,16,138.4,8.65,88,58,566,4,0.174591074026471,0.1677717770466987,0.3793268549723956,0.9133922547925416,7.49,0.659,6.43,2.48,0.586875,15
57,Theo Wease Jr.,MIA,3,25.9,8.63,10,6,139,1,0.1305729710902124,0.2314278872468528,0.3578589777081156,1.4357220735454457,13.7,0.6,13.9,10.5,,0
58,Marquise Brown,KC,16,137.7,8.61,74,49,587,5,0.1419715999064999,0.1973896924619935,0.3511301845831453,2.0349708089034744,11.3,0.662,7.93,3.88,0.535,10
59,Luther Burden III,CHI,15,127.9,8.53,60,47,652,2,0.1305023578955289,0.1074762759731671,0.2709869300245104,1.2085721396313502,7.67,0.783,10.87,7.11,,0
60,Keon Coleman,BUF,12,102.4,8.53,59,38,404,4,0.1668298019747295,0.227910540917115,0.4097820816040747,0.8981079288894677,11.17,0.644,6.85,2.32,0.6523076923076924,12
61,Jalen Coker,CAR,11,90.4,8.22,43,33,394,3,0.1539902531950419,0.1998849249156687,0.3709048272335309,1.5994200501185716,10.12,0.767,9.16,3.09,0.6936363636363636,5
62,Adonai Mitchell,NYJ,8,65.7,8.21,58,24,301,2,0.2424949361026211,0.4987381976987612,0.7128591425430645,0.3337723830081065,14.55,0.414,5.19,1.21,0.76125,8
63,Tory Horton,SEA,8,65.1,8.14,22,13,161,5,0.1057619168356998,0.1688791600990271,0.2768582873228687,0.5709150403544616,15.32,0.591,7.32,2.54,0.48125,4
64,Mack Hollins,NE,14,113.4,8.1,65,46,550,2,0.1624901191679252,0.206399179521077,0.3882146044166417,0.7628019834850555,13.09,0.708,8.46,2.35,0.6773333333333333,5
65,Xavier Worthy,KC,14,109.9,7.85,73,42,532,1,0.1605695939746921,0.2675937548079978,0.4281700193276366,0.5771371982380659,12.93,0.575,7.29,4.6,0.7057142857142857,6
66,Jayden Higgins,HOU,17,129.5,7.62,68,41,525,6,0.1237980886455021,0.1765813619068462,0.3093040863030456,1.0927116524489748,12.34,0.603,7.72,3.0,0.5723529411764706,9
67,Ryan Flournoy,DAL,15,114.0,7.6,56,40,475,4,0.1105742795179283,0.1053033145800437,0.2395737394829231,1.12302179323063,8.32,0.714,8.48,5.1,0.4475,7
68,Chimere Dike,TEN,17,128.1,7.54,74,48,423,4,0.1389794340061639,0.1490561048200666,0.3128084243832926,1.9051333772937875,8.09,0.649,5.72,4.58,0.5929411764705882,14
69,Jalen McMillan,TB,4,29.9,7.48,15,12,178,0,0.108125,0.1424091232446979,0.2618738862712885,1.2313852813852812,11.93,0.8,11.87,4.92,0.515,1
70,Devaughn Vele,NO,9,66.3,7.37,39,25,293,2,0.1333029110384317,0.1796485065305031,0.3257083211289997,0.8673954375638158,11.08,0.641,7.51,1.36,0.5015384615384616,5
71,John Metchie III,NYJ,9,66.10000000000001,7.34,44,29,256,2,0.1724993874477323,0.1482984118908058,0.3625579694951626,1.1334901480197226,5.95,0.659,5.82,4.41,,0
72,Elic Ayomanor,TEN,16,116.5,7.28,89,41,515,4,0.1847526105012789,0.3251097392875774,0.5047057332532225,0.5418009024393666,12.65,0.461,5.79,2.8,0.805625,8
73,Cooper Kupp,SEA,16,116.3,7.27,70,47,593,2,0.1598784180273221,0.1423585927419719,0.3394686419603635,1.862223621228124,7.5,0.671,8.47,6.23,0.755625,13
