rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,avg_snap_pct,rz_targets
82,Ben Sims,MIN,3,6.0,2.0,6,3,30,0,0.0827467218771566,0.1347510811953305,0.2184458396524663,1.174242424242424,12.17,0.5,5.0,0.17,1
83,Connor Heyward,PIT,14,27.4,1.96,4,3,21,1,0.0085550804405086,0.007855636863781,0.0183315664654097,0.55,6.5,0.75,5.25,0.0864705882352941,0
84,Luke Schoonmaker,DAL,14,27.200000000000003,1.94,23,14,132,0,0.0458144467595538,0.0403918680897006,0.0969959778021212,2.0390010316480907,7.17,0.609,5.74,0.3294117647058823,2
85,Devin Culp,TB,4,7.6,1.9,1,1,6,1,0.0078125,0.0041782729805013,0.0146435410863509,1.0,6.0,1.0,6.0,0.0646153846153846,1
86,Foster Moreau,NO,7,12.9,1.84,10,7,59,0,0.0467431561365839,0.010334699668587,0.0773490239728869,1.657142857142857,1.0,0.7,5.9,0.3572727272727273,1
87,Jack Stoll,NO,9,16.6,1.84,11,6,46,1,0.0348328740202694,0.0083703211703751,0.0581085358496668,1.1972222222222222,3.09,0.545,4.18,0.2086666666666666,1
88,Charlie Woerner,ATL,7,12.8,1.83,9,8,48,0,0.0457657534558538,0.0059182321447441,0.0727913926851017,1.9666666666666668,1.33,0.889,5.33,0.5082352941176471,1
89,Johnny Mundt,JAX,12,20.1,1.68,19,9,111,0,0.0513441023615056,0.0305592818144156,0.0984076508123494,2.211881662474548,5.26,0.474,5.84,0.358125,1
90,Tip Reiman,ARI,3,4.8,1.6,5,3,18,0,0.0520171286905566,0.0469930976847133,0.1109208614151344,0.8888888888888888,5.2,0.6,3.6,0.37,0
91,Quintin Morris,JAX,11,17.5,1.59,9,6,55,1,0.0316928818981604,0.0175577986089893,0.0598297818735332,1.728191856452726,5.0,0.667,6.11,0.2328571428571428,2
92,Josiah Deguara,ARI,7,11.1,1.59,5,3,21,1,0.0214825333159023,0.0114177908649112,0.0402162535792913,0.6409090909090909,4.6,0.6,4.2,0.1041666666666666,1
93,Brevyn Spann-Ford,DAL,16,24.0,1.5,13,9,90,1,0.0251985489914312,0.0256021239694731,0.055719310265778,1.1242424242424245,8.23,0.692,6.92,0.2488235294117646,2
94,David Martin-Robinson,TEN,11,13.0,1.18,6,4,30,1,0.0171720258351274,0.0123305918929114,0.0343894530777291,0.78125,3.83,0.667,5.0,0.1270588235294117,1
95,Andrew Ogletree,IND,11,12.7,1.15,6,4,27,1,0.0177987245729181,0.0156990088640261,0.0376873930641955,0.6909937888198757,7.0,0.667,4.5,0.2366666666666666,2
96,Brenden Bates,CLE,4,4.5,1.12,3,2,25,0,0.0320335863814124,0.0233227348910578,0.0643762939958592,1.1944444444444444,5.33,0.667,8.33,0.3583333333333333,1
97,Eric Saubert,SEA,9,9.1,1.01,7,4,31,0,0.0302900802900802,0.0201185445324943,0.0595181016078665,1.0625,4.0,0.571,4.43,0.3954545454545454,4
98,Tucker Fisk,LAC,4,3.9,0.98,4,2,19,0,0.0286388319283056,0.0122234683555438,0.0515146757413391,0.0,5.5,0.5,4.75,0.337,0
99,Durham Smythe,CHI,7,6.5,0.93,6,4,25,0,0.0288330716902145,0.009348325634358,0.0497934354793724,1.0486111111111112,4.0,0.667,4.17,0.2541176470588235,0
100,Kylen Granson,PHI,12,11.0,0.92,9,7,40,0,0.0265626621018777,0.0160688892975556,0.0510922156611056,0.6880139152435167,7.56,0.778,4.44,0.2341176470588235,1
101,Ross Dwelley,DET,4,2.7,0.68,5,2,7,0,0.04365479390681,0.0014705882352941,0.0665116026249209,1.5,0.2,0.4,1.4,0.1727272727272727,3
102,Ben Yurosek,MIN,6,3.4,0.57,3,2,14,0,0.0166666666666666,0.0134680134680134,0.0344276094276094,1.3166666666666669,3.67,0.667,4.67,0.1658333333333333,0
103,Harrison Bryant,HOU,5,2.7,0.54,6,2,7,0,0.0371184461315117,0.0436682309050424,0.0862454308307973,0.3194444444444444,9.67,0.333,1.17,0.2125,0
104,Chris Manhertz,NYG,4,1.7000000000000002,0.43,2,1,7,0,0.0161458333333333,0.0144672382118799,0.0343458167483159,3.5,5.5,0.5,3.5,0.178235294117647,1
105,Carter Runyon,LV,3,1.3,0.43,1,1,3,0,0.0196078431372549,-0.0196078431372549,0.0156862745098039,0.0,-3.0,1.0,3.0,0.0623076923076923,0
106,Pharaoh Brown,ARI,5,2.1,0.42,2,2,1,0,0.0105263157894736,0.00078125,0.0163363486842105,1.0,0.5,1.0,0.5,0.13,1
107,Colson Yankoff,WAS,10,3.8,0.38,3,2,18,0,0.0106704980842911,0.0061046626008262,0.0202790109470151,1.6923076923076923,6.0,0.667,6.0,0.1264285714285714,0
108,Blake Whiteheart,CLE,9,2.4,0.27,6,2,4,0,0.0246653623734433,0.0193274263424831,0.0505272419999031,0.3333333333333333,7.17,0.333,0.67,0.2370588235294117,0
109,Payne Durham,TB,8,2.1,0.26,4,1,11,0,0.0168687094559187,0.0126130582017675,0.0341322049251154,0.0,4.0,0.25,2.75,0.3176470588235294,1
110,Jack Westover,NE,4,1.0,0.25,2,1,0,0,0.0211206896551724,0.0014285714285714,0.0326810344827586,0.0,1.0,0.5,0.0,0.218235294117647,0
111,Feleipe Franks,ATL,10,0.4,0.04,0,0,0,0,0.0,0.0,0.0,,,,,0.0129411764705882,0
112,Justin Shorter,LV,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,,,,,0.0128571428571428,0
113,Cameron Latu,PHI,10,0.0,0.0,0,0,0,0,0.0,0.0,0.0,,,,,0.1106666666666666,0
114,Brayden Willis,SF,6,0.0,0.0,1,0,0,0,0.0043859649122807,0.0013123359580052,0.0074975825390247,0.0,2.0,0.0,0.0,0.0283333333333333,0
115,Nick Kallerup,SEA,4,0.0,0.0,1,0,0,0,0.0208333333333333,0.015625,0.0421875,0.0,8.0,0.0,0.0,0.2355555555555555,1
