rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
166,Ashton Dulin,IND,9,19.199999,2.13,8,2,67.0,1,0.05242585,0.0857462,0.1386611,0.563962,19.25,0.25,8.38,21.5,0.1986666666666666,0,,0,
167,Jalen Reagor,LAC,7,14.7,2.1,12,7,100.0,0,0.057438463,0.055298176,0.12486641,0.71058875,10.25,0.583,8.33,3.71,0.2825,0,,0,
168,Xavier Smith,LA,3,6.2,2.07,2,2,6.0,0,0.044444446,0.0027247956,0.068574026,6.0,0.5,1.0,3.0,2.5,0.0353333333333333,0,,0,
169,Bo Melton,GB,11,22.5,2.05,17,8,91.0,0,0.060209826,0.09986999,0.16022372,0.36063898,17.82,0.471,5.35,0.88,0.228235294117647,0,,0,
170,Brandon Powell,MIN,7,14.1,2.01,10,7,71.0,0,0.051629163,0.062305223,0.1210574,1.0300959,10.2,0.7,7.1,1.71,0.198235294117647,0,,0,
171,Chris Conley,SF,7,13.599999,1.94,12,6,76.0,0,0.052956343,0.10630519,0.15384814,0.63171226,17.25,0.5,6.33,3.17,0.2373333333333333,0,,0,
172,Devin Duvernay,JAX,10,19.2,1.92,16,11,79.0,0,0.065515384,0.07899938,0.15357263,0.69488424,11.44,0.688,4.94,5.73,0.2215384615384615,0,,0,
173,Odell Beckham,MIA,8,14.5,1.81,19,9,55.0,0,0.07411889,0.09415312,0.17708552,0.477332,8.63,0.474,2.89,1.56,,0,,0,
174,Xavier Hutchinson,HOU,14,23.7,1.69,26,12,117.0,0,0.060268544,0.06578183,0.1364501,0.5748953,10.15,0.462,4.5,3.08,0.470625,0,,0,
175,Deven Thompkins,CAR,4,6.7000003,1.68,4,4,20.0,0,0.060606062,-0.015835807,0.07982403,0.5833333,-2.0,1.0,5.0,7.0,0.1157142857142857,0,,0,
176,Johnny Wilson,PHI,9,14.8,1.64,15,5,38.0,1,0.055884335,0.08277167,0.14176667,0.25721744,9.8,0.333,2.53,3.0,0.33625,0,,0,
177,Jonathan Mingo,DAL,6,9.6,1.6,16,5,46.0,0,0.0739996,0.13896042,0.2082717,0.29391053,13.81,0.312,2.88,0.6,0.29375,0,,0,
178,Treylon Burks,TEN,5,7.5,1.5,8,4,34.0,0,0.058387797,0.12545325,0.17539898,0.49770117,16.88,0.5,4.25,1.25,0.474,0,,0,
179,Malachi Corley,NYJ,5,7.2,1.44,6,3,16.0,0,0.04555079,0.056326725,0.107754886,0.2916667,8.33,0.5,2.67,1.67,0.151111111111111,0,,0,
180,Terrace Marshall,LV,5,7.1,1.42,6,3,41.0,0,0.03431297,0.032927662,0.074518815,0.5955556,8.67,0.5,6.83,1.33,,0,,0,
181,Jalin Hyatt,NYG,10,14.2,1.42,19,8,62.0,0,0.055182934,0.1630809,0.19693103,0.4003697,19.11,0.421,3.26,0.75,0.315,0,,0,
182,Ronnie Bell,SF,3,4.2,1.4,6,2,22.0,0,0.068172045,0.067083985,0.14921685,0.26681784,10.83,0.333,3.67,1.0,0.19,0,,0,
183,Trenton Irwin,CIN,4,4.5,1.12,10,3,15.0,0,0.07506023,0.07828432,0.16738936,0.36956522,6.2,0.3,1.5,1.33,0.2914285714285714,6,5.2,5,7.7
184,Allen Robinson,DET,6,6.0,1.0,7,3,30.0,0,0.042655047,0.056779046,0.10372791,0.4569378,7.29,0.429,4.29,1.33,0.12,0,,0,
185,Marquez Valdes-Scantling,BUF,5,4.6000004,0.92,9,2,26.0,0,0.06993281,0.15623519,0.21426384,0.16242424,15.67,0.222,2.89,3.0,0.3783333333333333,0,,0,
186,Jamari Thrash,CLE,6,5.2,0.87,7,3,22.0,0,0.029062808,0.030633902,0.06503794,0.9777778,7.29,0.429,3.14,4.67,0.23,0,,0,
187,Josh Reynolds,JAX,3,2.1,0.7,5,1,11.0,0,0.049533814,0.066282235,0.12069828,0.14666666,10.6,0.2,2.2,0.0,0.4549999999999999,0,,0,
188,Javon Baker,NE,4,2.2,0.55,4,1,12.0,0,0.03461941,0.049355038,0.08647764,0.25,12.5,0.25,3.0,0.0,0.1272727272727272,0,,0,
189,Diontae Johnson,BAL,3,1.6,0.53,5,1,6.0,0,0.058211725,0.15521757,0.19596988,0.057142857,24.6,0.2,1.2,1.0,0.1625,11,,9,
190,Kameron Johnson,TB,3,1.1,0.37,1,0,0.0,0,0.021276595,0.009933775,0.038868535,0.0,3.0,0.0,0.0,,0.132,0,,0,
191,Braxton Berrios,MIA,3,0.0,0.0,4,0,0.0,0,0.038280215,0.036867756,0.08322775,0.0,6.5,0.0,0.0,,0.2683333333333333,0,,0,
