rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,opportunity_share,catch_rate,yac_per_rec,avg_snap_pct,gl_carries,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
91,Tyler Badie,DEN,3,9.400001,3.13,11,86.0,0,7.82,3,3,-2.0,0,0.055151515,0.079,1.0,1.33,0.1066666666666666,0,0,,0,
92,DeeJay Dallas,ARI,7,21.0,3.0,9,49.0,0,5.44,3,3,11.0,1,0.029318327,0.029,1.0,6.67,0.0458823529411764,0,0,,0,
93,Craig Reynolds,DET,7,20.9,2.99,31,139.0,0,4.48,5,3,40.0,0,0.051452022,0.083,0.6,14.0,0.0852941176470588,0,0,,0,
94,D'Ernest Johnson,JAX,12,35.9,2.99,32,143.0,0,4.47,19,12,96.0,0,0.07611139,0.077,0.632,8.42,0.2292857142857143,1,0,,0,
95,Hassan Haskins,LAC,11,32.8,2.98,34,89.0,2,2.62,3,3,49.0,1,0.045833334,0.051,1.0,14.0,0.1141176470588235,8,0,,0,
96,Cordarrelle Patterson,PIT,13,37.5,2.88,32,135.0,0,4.22,14,12,80.0,1,0.0665887,0.06,0.857,4.67,0.1261538461538461,1,0,,0,
97,Jamaal Williams,NO,13,37.100002,2.85,48,164.0,1,3.42,11,9,57.0,0,0.053805385,0.079,0.818,5.89,0.1992857142857143,1,0,,0,
98,Ty Chandler,MIN,10,28.4,2.84,56,182.0,0,3.25,6,6,42.0,0,0.07963347,0.113,1.0,8.83,0.1394117647058823,0,0,,0,
99,Raheem Blackshear,CAR,3,8.0,2.67,15,80.0,0,5.33,0,0,0.0,0,,0.113,,,0.071875,0,0,,0,
100,Jonathon Brooks,CAR,3,7.4999995,2.5,9,22.0,0,2.44,3,3,23.0,0,0.07317073,0.066,1.0,10.33,0.11,1,0,,0,
101,Blake Corum,LA,14,33.5,2.39,58,207.0,0,3.57,8,7,58.0,0,0.04196382,0.083,0.875,9.29,0.1117647058823529,5,0,,0,
102,Deuce Vaughn,DAL,5,11.8,2.36,17,70.0,0,4.12,5,3,18.0,0,0.033809092,0.065,0.6,4.33,0.0971428571428571,1,0,,0,
103,J.J. Taylor,HOU,3,6.3999996,2.13,10,44.0,0,4.4,3,2,0.0,0,0.036076326,0.069,0.667,0.5,0.09,0,0,,0,
104,Jaylen Wright,MIA,13,26.7,2.05,68,249.0,0,3.66,6,3,8.0,0,0.041964285,0.094,0.5,2.67,0.1699999999999999,0,0,,0,
105,Sione Vaki,DET,4,8.1,2.03,6,14.0,0,2.33,3,3,37.0,0,0.040683962,0.032,1.0,6.67,0.021875,0,0,,0,
106,Carson Steele,KC,12,23.9,1.99,56,183.0,0,3.27,11,7,26.0,0,0.06612175,0.106,0.636,6.14,0.1876470588235294,4,0,,0,
107,Eric Gray,NYG,10,19.3,1.93,14,31.0,0,2.21,11,10,82.0,0,0.049831443,0.043,0.909,10.3,0.0952941176470588,3,0,,0,
108,Julius Chestnut,TEN,7,13.3,1.9,22,102.0,0,4.64,3,2,11.0,0,0.033216376,0.056,0.667,7.0,0.0711764705882352,1,0,,0,
109,Travis Homer,CHI,4,6.3999996,1.6,6,23.0,0,3.83,3,3,11.0,0,0.125,0.043,1.0,3.33,0.116,0,0,,0,
110,Jeffery Wilson,MIA,7,10.599999,1.51,16,57.0,0,3.56,3,3,19.0,0,0.03813814,0.047,1.0,6.33,,0,0,,0,
111,Mike Boone,CAR,5,5.9,1.18,13,51.0,0,3.92,3,1,-2.0,0,0.05974026,0.067,0.333,2.0,0.12,0,0,,0,
112,Rasheen Ali,BAL,4,3.1,0.77,10,31.0,0,3.1,2,0,0.0,0,0.06666667,0.052,0.0,,0.0783333333333333,0,0,,0,
113,Aaron Shampklin,PIT,3,1.6999999,0.57,6,17.0,0,2.83,0,0,0.0,0,,0.037,,,0.1466666666666666,1,0,,0,
